Paraula,Definicio
recorregut del vent,['Distància que recorre una partícula que té la mateixa velocitat que el vent durant un període de temps determinat.']
reducció,"['Substitució d’un valor observat per un altre de calculat en funció d’ell, a fi de facilitar la comparació amb altres valors anàlegs (p. ex., reducció de la temperatura o de la pressió al nivell del mar). Normalment fa referència a la reducció de la temperatura i la pressió al nivell mitjà del mar.']"
reflectància,"['Quocient entre la radiació reflectida per una superfície, un cos, etc., i la radiació que hi incideix.']"
reflectivitat,"['Magnitud proporcional a la potència del senyal reflectiu per les gotes d’aigua contingudes a l’atmosfera, la qual depèn de la mida i la distribució d’aquestes. Apareix com a escala en les imatges del radar meteorològic.']"
reflectòmetre,['Instrument meteorològic que mesura la reflectància.']
refracció atmosfèrica,['Desviació de la radiació quan travessa l’atmosfera a causa de la variació de l’índex de refracció en capes adjacents de temperatura diferent.']
refredament dinàmic,['Disminució de la temperatura d’un gas per efecte de la seva expansió.']
refugi climàtic,"['Zona natural o urbana que ofereix unes condicions ambientals benignes per a protegir-se d’un context desfavorable, com ara massa calor, escassetat d’aigua, poc accés a un hàbitat adequat, etc. Quan es fa referència a refugis climàtics per a persones, es tracta normalment d’espais públics que permeten protegir-se de situacions extremes de calor o fred per a ciutadans que ho necessitin.']"
regeneració de la depressió,['Disminució de la pressió atmosfèrica que es produeix al centre d’una depressió que es troba en fase de rebliment.']
règim pluviomètric,"['Descripció de la precipitació en un indret al llarg d’un període, que pot ser estacional o anual.']"
regió advectiva,['Estratosfera.']
regió convectiva,['Troposfera.']
regió font,"['Regió de la Terra que es caracteritza per unes condicions superficials molt uniformes, de tal manera que una massa d’aire que estigui en contacte amb ella el temps suficient adquireix les propietats que caracteritzen la regió.']"
regió sinòptica natural,"['Regió de la Terra on les situacions sinòptiques tenen característiques pròpies, de tal manera que es poden estudiar independentment de les situacions sinòptiques d’altres regions.']"
regle de Gold,"['Escala annexa al termòmetre d’alguns baròmetres marins, que està dividida en mil·libars i dona directament la correcció de temperatura que cal aplicar a l’altura baromètrica llegida.']"
relació de mescla,"['Quantitat de vapor d’aigua, en grams, per cada kilogram d’aire perfectament sec. És una traducció literal, segurament poc reeixida, del nom mixing ratio anglès.']"
relleu isobàric,"['Conjunt de la distribució de les pressions al nivell del mar (o a un altre nivell preestablert) en un moment donat. Aquesta designació prové de comparar les línies isòbares amb les corbes de nivell d’una representació topogràfica. Seguint aquesta analogia és que es parla, per exemple, d’enfondir-se o omplir-se (en el sentit d’aprofundir-se) una depressió.']"
rem de gropada,['Torbonada.']
remolí,"['Moviment en forma de vòrtex que es produeix en un fluid viscós quan passa prop d’un obstacle o quan dos corrents fluids passen a prop l’un de l’altre. En l’atmosfera, la viscositat de l’aire dona lloc a remolins de diferents dimensions i aparences (ratxes, turbulència en algunes capes altes, remolins de pols, etc.).']"
remolí de pols,"['Columna d’aire aproximadament vertical i rotatòria que es fa visible pel contingut de partícules de pols, sorra i petits objectes lleugers (fulles, papers, etc.) que s’han aixecat del terra fins a una alçària variable, de poques desenes de metres, però que ocasionalment en poden tenir centenars. Té una durada que oscil·la entre menys d’un minut a poques desenes de minuts en els casos més extrems.']"
remolí de vent,['Remolí de pols.']
representació analítica,"['Representació, per mitjà d’una fórmula matemàtica, de la correspondència entre dues o més variables. És freqüent començar per una representació gràfica, la qual serveix de guia en la recerca de la llei analítica més adequada.']"
representació gràfica,"['Procediment geomètric de representar la correspondència entre dues o més quantitats variables. En el cas de dues, sol ésser una corba referida a coordenades cartesianes o polars. En el cas de tres, se sol acudir al traçat d’un sistema d’isopletes.']"
valor representatiu,"['Valor observat d’una variable meteorològica (temperatura, etc.) que no ha estat influït per causes locals o per proximitat de la superfície terrestre, i que per consegüent caracteritza una massa d’aire.']"
resiliència,"['Resistència que oposa l’aire, en determinades circumstàncies, a ésser foragitat, en direcció vertical, del lloc que ocupa, o a tornar-hi quan n’ha estat tret.']"
resolució del model,['Nivell mínim de detall espacial i temporal que pot oferir un model numèric.']
resplendor blanca,['Brillantor blanca i uniforme que s’observa a la superfície terrestre quan es troba coberta per neu i el cel és cobert uniformement per núvols baixos.']
ressol,"['Fals sol.', 'També se’n diu ressol de la claror intensa deguda a la reverberació dels objectes il·luminats directament pel Sol.']"
resplendor alpina,"['Resplendor, entre groga i vermella, que il·lumina els cims nevats situats a la banda oposada al Sol quan aquest astre és a uns 2° sobre l’horitzó.', 'Feble lluminositat que alguna vegada s’observa, en les mateixes condicions d’orientació, quan el Sol ja és 3° o 4° a sota l’horitzó.']"
retard,"['Diferència, en temps, entre l’esdeveniment d’un fenomen (o la variació de la seva intensitat) i la seva indicació per un aparell destinat a revelar-lo o mesurar-lo.']"
retorn,"['Corrent superior de compensació (contrabrisa, contraalisi) corresponent a un vent inferior. Es diu particularment quan la direcció del vent superior i la de l’inferior formen un angle de més de 90°.']"
retrò,['Retruny.']
retroalimentació,"['Interacció entre dos o més processos del sistema climàtic, de forma que els canvis que tenen lloc en el primer repercuteixen en els següents, alterant així el primer procés novament.']"
retrotrajectòria,"['Simulació d’un model numèric que consisteix en la reconstrucció de la trajectòria que ha seguit una massa d’aire que ha assolit un determinat indret, i que permet determinar la seva procedència.']"
retruny,['Variacions d’intensitat en el soroll del tro.']
riuada,"['Desbordament d’un sistema fluvial a conseqüència de la crescuda del cabal associat a una precipitació intensa i torrencial, o al desgel accelerat de masses de gel.']"
rissaga,"['A les Illes Balears, seixa.']"
risc climàtic,['Possibilitat de succés d’un determinat fenomen climàtic de conseqüències catastròfiques.']
risc meteorològic,['Possibilitat de succés d’un determinat fenomen meteorològic extrem de conseqüències catastròfiques per a béns o persones.']
rogativa,"['Una de les fonts de dades proxy utilitzades en climatologia històrica per a la reconstrucció del clima d’èpoques passades, consistents en l’anàlisi de les cerimònies de rogatives a l’Església catòlica destinades a demanar el final de la sequera (rogatives propluvia) o el final de la pluja (proserenitate).']"
roina,['Plugim.']
rolar,"['Variar, el vent, de direcció. S’utilitza en l’àmbit de la meteorologia nàutica.']"
rondar,"['Canviar progressivament la direcció del vent, en particular si és en el sentit del moviment del Sol. Es diu, per exemple, que «el terral ronda» (o «fa rondada») quan a la sortida de Sol comença a girar des del sector nord cap a garbí, passant per llevant.']"
rosa dels vents,"['Representació gràfica, per a un lloc i un període de temps determinats, de la freqüència del vent segons les direccions. Aquesta freqüència es pot referir solament al nombre de vegades que ha bufat de cada direcció, però també al nombre de vegades per a cada velocitat, o simplement als kilòmetres recorreguts en cada direcció.']"
rosada,"['Gotetes d’aigua que per efecte de la condensació directa en una gruixa d’aire en contacte immediat amb la terra, es diposita sobre les superfícies refredades per sobre dels 0 °C i per sota del punt de rosada per la radiació nocturna.']"
rosada blanca,['Rosada que es glaça després de formar-se.']
rostir-se les plantes,"['Es diu quan les parts tendres dels vegetals es moren i es tornen d’un color fosc a causa d’una glaçada («gelada negra», en contraposició a la «gelada blanca» o dipòsit de cristallets de glaç damunt les herbes).']"
rufa,['Tempestat de vent i pluja o neu en àrees muntanyoses.']
rufagada de neu,['Rufa.']
ruixat,"['Pluja escadussera i de curta durada, que cau de núvols isolats entre els quals hi ha cel serè. La intensitat de la precipitació sol ésser forta, i la durada no sol excedir gaire d’un quart d’hora. Els ruixats són típics de les masses d’aire fred i inestable que es troben a la reressaga de les depressions i passen damunt la terra o la mar calentes.']"
ruixat d’inestabilitat,['Ruixat evidentment produït per la inestabilitat vertical deguda a un escalfament excessiu de les capes inferiors de l’aire o a l’excessiva fredor de les capes altes.']
ruixim,['Plugim.']
rumb nàutic,"['Rumb comptat des del nord o des del sud, de 0° a 90°. Per exemple, «sud 52° a l’est».']"
RVR,['Sigla de abast visual de la pista.']
abast visual de la pista,['Màxima visibilitat horitzontal en una pista d’un aeroport o un aeròdrom. La sigla prové del terme anglès runway visual range.']
sacsejada,['Variació ràpida de la component vertical del vector vent entre dos punts propers a la mateixa altura.']
salinitat,['Proporció de sals continguda en l’aigua. La de l’aigua de mar se sol expressar en tant per mil (grams de substàncies salines en 1.000 grams d’aigua de mar).']
salt del vent,['Variació brusca de la direcció del vent.']
sants de glaç,"['A França i Alemanya s’anomenen així sant Mamert, sant Pancraç i sant Gervasi, a les diades dels quals, els dies 11, 12 i 13 de maig, respectivament, s’esdevé una revinguda del fred, segons la dita popular. El fet vindria a ésser com una contrapartida de l’estiuet de Sant Martí. A Catalunya no coneixem cap dita semblant, segurament perquè a la nostra terra ja s’ha establert aleshores una primavera general. Tampoc no sabem que es faci un penjament per l’estil a sant Ponç ni a sant Pere Regalat, sants prou populars a Catalunya i que se celebren l’11 i el 13 de maig.']"
satèl·lit meteorològic,"['Satèl·lit artificial que orbita al voltant de la Terra per portar a terme una gran diversitat d’observacions meteorològiques, que transmet a diverses estacions receptores situades a la superfície terrestre. Fonamentalment, n’hi ha de dos tipus segons l’òrbita que descriuen. Els satèl·lits geoestacionaris segueixen una òrbita que coincideix amb el període de rotació terrestre, i cobreixen permanentment la mateixa superfície terrestre. Els satèl·lits d’òrbita polar se situen a altures d’entre 700 i 800 km, fent una volta completa a la Terra en poc més de dues hores, orbitant de pol a pol.']"
satèl·lit geoestacionari,['Vegeu satèl·lit meteorològic.']
satèl·lit d’òrbita polar,['Vegeu satèl·lit meteorològic.']
saturació,"['Condició d’humitat de l’aire, en la qual aquest conté el màximum de vapor d’aigua compatible amb la seva temperatura.']"
secada,['Sequera.']
seclusió,"['Situació que precedeix a l’oclusió total d’una depressió del front polar, quan del sector calent no queda en contacte amb la superfície terrestre sinó una petita àrea, separada de la resta de la massa tropical per l’aire fred posterior, que ha encalçat el de la part anterior.', 'En la tècnica de l’anàlisi isentròpica, isolament d’una llengua seca o humida per la intrusió d’una altra d’humida o seca, respectivament.']"
sector calent,"['Sector d’aire calent que existeix, en les depressions joves, entre el front calent i el front fred. Sol ésser constituït per aire tropical, però també ho és sovint per aire polar marítim.']"
sector càlid,['Sector calent.']
sector fred,"['Part d’una depressió ocupada ran de terra per aire fred. Tal com la depressió es va envellint, el sector fred en va ocupant cada vegada més extensió ran de terra, fins que en arribar l’oclusió envaeix totalment l’espai que abans ocupava l’aire calent.']"
sector navegable,"['En un cicló tropical, la meitat de l’àrea del cicló que a l’hemisferi boreal està a l’esquerra i a l’austral a la dreta de la seva trajectòria. És el sector on són menys furiosos el vent i la mar, i on la deriva tendeix a allunyar les naus del centre de la tempesta.']"
sector perillós,"['En un cicló tropical, la meitat de l’àrea del cicló que a l’hemisferi boreal està a la dreta i a l’austral a l’esquerra de la seva trajectòria. És el sector on són més furiosos el vent i la mar i on la deriva tendeix a portar les naus cap al centre de la tempesta.']"
secundari | secundària,['Que pertany a una categoria menys important respecte a un altre fenomen meteorològic del mateix tipus.']
seixa,"['Oscil·lació del nivell dels llacs i de les aigües costaneres, semblant a la de les marees, però de període més curt i que no té relació amb el moviment del Sol ni de la Lluna. El seu període sol ésser inferior a 1 hora; sovint no és més que de 20 a 40 minuts. Algunes seixes són produïdes per fenòmens sísmics, però moltes ho són per la fricció del vent damunt la superfície líquida. Les de la costa catalana esdevenen sobretot a l’estiu i van acompanyades d’oscil·lacions més o menys rítmiques del baròmetre.']"
sembra de núvols,"['Introducció artificial de partícules dins un núvol, mitjançant coets o avions, que poden modificar-ne l’estructura, causar-ne la dissipació i, tot i que no s’ha demostrat científicament, produir precipitacions.']"
SMC,['Sigla de sistema convectiu mesoescalar.']
semiàrid,['S’aplica als climes de condicions intermèdies entre l’aridesa i la fertilitat.']
sensació tèrmica,"['Sensació de fred o calor que percep una persona a conseqüència d’estar exposada a una combinació de temperatura, humitat i vent, que modifica el balanç energètic entre el cos i l’aire que l’envolta. Hi ha una component intrínseca que depèn del metabolisme de l’individu, l’activitat física que desenvolupi i el tipus de vestimenta que dugui.']"
sensibilitat climàtica,"['Mesura de la resposta del sistema climàtic a un forçament radiatiu, quan aquest es troba en una situació d’equilibri. En els informes climàtics de l’IPCC, es defineix com el canvi que experimenta la temperatura mitjana planetària en modificar-se la concentració de CO2.']"
sequera,['Absència o deficiència perllongada de precipitació.']
serè | serena 1.,"['En la pràctica, és costum anomenar serè aquell estat del cel en el qual la nuvolositat total és de 0 a 2 dècimes.', 'm. Vent del N o de ponent, sec i generalment moderat o fort (terme de la Catalunya meridional).']"
sèrie climàtica,"['Conjunt de dades meteorològiques mesurades en una estació o observatori meteorològics. S’ordenen cronològicament i abasten un període de temps prou llarg perquè representin les característiques climàtiques d’una zona, generalment de trenta anys, segons l’Organització Meteorològica Mundial.']"
servei meteorològic,['Institució o organisme públic d’un país que s’encarrega de desenvolupar les activitats dictades per l’Organització Meteorològica Mundial.']
setmana dels barbuts,"['Setmana que comprèn les diades de sant Pau Ermità (15 de gener) i sant Antoni Abat (17 de gener), la qual, segons la dita popular, és la més freda de l’any. Al nostre país, el dia de temperatura mitjana més baixa s’escau, efectivament, cap al 15 de gener.']"
SIGMET,"['Missatge xifrat usat en aeronàutica que inclou informació, real o prevista, relativa als fenòmens meteorològics que poden afectar la seguretat de les aeronaus en ruta.']"
símbol meteorològic,"['Paraula, lletra, grup de lletres o símbol que, per acord internacional, s’utilitza per a representar en un mapa sinòptic les observacions meteorològiques.']"
simpiezòmetre,"['Baròmetre de líquid (glicerina), en la cambra baromètrica del qual es deixa una certa quantitat d’aire per tal de fer més curta la columna. Aparell avui abandonat, perquè és molt sensible a les variacions de temperatura.']"
simulació numèrica,"['Eina matemàtica que permet estudiar l’evolució d’un sistema atmosfèric, a partir de la solució del conjunt d’equacions que defineixen un model numèric de l’atmosfera. A partir d’un estat inicial, la simulació numèrica en ordinadors permet determinar l’estat futur del sistema atmosfèric.']"
singularitat meteorològica,['Tendència a la recurrència d’una variable meteorològica determinada en unes dates fixes o gairebé fixes.']
sinòptic | sinòptica,"['S’aplica als mapes que abasten una escala espacial i temporal sinòptica o bé a una escala meteorològica on s’inclouen els fenòmens meteorològics que tenen una extensió de centenars a un miler de quilòmetres (entre 200 i 2.000 km), i una durada de pocs dies fins a poques setmanes.']"
sisme,['Terratrèmol.']
sismògraf,['Aparell per a registrar automàticament els terratrèmols.']
sistema baromètric,['Qualsevol de les distribucions locals de la pressió atmosfèrica amb característiques pròpies dins un mapa sinòptic.']
sistema climàtic,"['Sistema complex format per l’atmosfera, la hidrosfera, la criosfera, la litosfera i la biosfera, que interactuen entre si intercanviant massa, energia i moviment.']"
sistema convectiu mesoescalar,"['Sistema tempestuós de grans dimensions i ben organitzat, format per un conjunt de tempestes a la part davantera que produeixen precipitacions molt intenses, i que aporten gran quantitat de vapor a la part del darrere, formada per núvols estratiformes. Té un cicle de vida variable, des d’algunes poques hores fins a unes 24 hores.']"
sistema frontal,"['Conjunt de fronts (fred, càlid, oclús) associats a una depressió.']"
sistema nuvolós,"['Agrupació de núvols que formen un conjunt orgànic. Hi ha sistemes depressionaris, corresponents a una depressió ben definida, i sistemes tempestosos.']"
sistema de núvols,['Sistema nuvolós.']
situació en omega,"['Nom en argot meteorològic per indicar aquella configuració sinòptica associada a un bloqueig anticiclònic al voltant del qual una dorsal d’aire càlid queda flanquejada, per l’est i l’oest, per dues baixes pressions. Té aquest nom perquè la seva forma recorda la lletra grega omega (Ω).']"
situació sinòptica,['Estat de l’atmosfera representat en un mapa sinòptic.']
smog,['Boirum.']
sobrefusió,['Condició d’un líquid que roman en aquest estat per sota de la seva temperatura de fusió. El fenomen és freqüent en les gotes de molts núvols baixos o mitjans.']
sobresaturació,"['Es diu que l’aire està sobresaturat quan conté més vapor d’aigua que el que correspon a la seva temperatura. La causa sol residir en la manca de nuclis de condensació, sòlids o líquids, en l’aire, els quals semblen ésser indispensables perquè el vapor sobrer de l’atmosfera es condensi en gotes.']"
sobrevent,['Costat d’on ve el vent.']
sodar,['Radar meteorològic que utilitza senyals acústics.']
solarígraf,['Solarímetre inscriptor.']
solarímetre,['Aparell per a mesurar la intensitat de la radiació solar i que consisteix en una termopila associada a un mil·livoltímetre. Vegeu piranòmetre.']
solarització,['Exposició als raigs directes del Sol.']
solenoide,"['En un camp baroclínic, la porció d’aire compresa entre dues superfícies isobàriques i dues d’isostèriques.', 'Porció d’aire compresa entre dues superfícies isotermes i dues d’isentròpiques.']"
sondatge,"['Exploració de l’atmosfera lliure amb aparells portats per estels, avions o globus.', 'Observació dels vents superiors amb globus pilots.']"
sondatge atmosfèric,['Sondatge.']
sostre,['Banc de núvols.']
sostre de núvols,['Altura a la qual es troba la part més baixa d’un banc de núvols.']
sotavent,['Costat oposat al sobrevent.']
SPI,['Sigla de índex de precipitació estandarditzat.']
spissatus,"['Dit de l’espècie de núvol del gènere cirrus que té una espessor òptica gran, cosa que fa que es vegi grisós en direcció al Sol.']"
SST,['Sigla de temperatura de la superfície del mar']
stratiformis,"['Dit de l’espècie de núvol del gènere cirrocúmulus, altocúmulus o estratocúmulus que té forma de capa horitzontal extensa.']"
stratocumulus,['Estratocúmulus.']
Sc,['Símbol de estratocúmulus.']
stratus,['Estratus.']
St,['Símbol de estratus.']
subestratosfera,"['Regió, d’algun gruix i d’estructura generalment fullada, que es troba immediatament a sota de l’estratosfera, i on el gradient tèrmic disminueix ràpidament. És la regió on es formen els cirrus més alts. La tropopausa ve a ésser, la major part de les vegades, una mera simplificació de la subestratosfera, de la qual ha d’ésser considerada com una superfície mitjana.']"
sublimació,['Procés de transformació directa d’un vapor en sòlid quan ultrapassa les condicions de saturació.']
subfusió,['Estat de l’aigua líquida que té una temperatura inferior al punt de congelació sense que es produeixi congelació.']
subsidència,"['Lent moviment de descens de l’aire en una àrea molt extensa, amb divergència dels vents inferiors. Aquesta dinàmica és característica de les situacions anticiclòniques']"
successió nuvolosa,"['Sèrie de les espècies de núvols d’un sistema depressionari, que van passant successivament per un lloc determinat.']"
supercèl·lula,"['Sistema tempestuós rotatori de grans dimensions i d’alta organització, que té una durada superior a la d’una tempesta ordinària. Es forma en condicions de molta inestabilitat i produeix precipitacions molt intenses amb fenòmens molt virulents com tornados, pedregades i vents molt forts.']"
superfície de discontinuïtat,"['Superfície de separació de dues masses d’aire de condicions físiques diferents. Per efecte de la turbulència, aquesta superfície és generalment difusa i mal definida, però per als fenòmens en gran escala se la pot considerar com a abrupta.']"
superfície de lliscament,"['Superfície de discontinuïtat, o superfície frontal, en la qual les masses en contacte tenen una component vertical de la velocitat. Pot ésser de lliscament ascendent (anafront) o descendent (catafront).']"
superfície de subsidència,"['Extensió sobre la superfície terrestre on incideix la subsidència de l’aire, és a dir, la descendència de l’aire de les capes altes de la troposfera. Com a conseqüència de la compressió adiabàtica, es produeix un escalfament sobre aquesta superfície terrestre.']"
superfície equiescalar,"['Nom genèric de les superfícies d’igual valor d’una variable meteorològica de natura escalar (superfície isobàrica, isopícnica, isoterma, etc.).']"
superfície equipotencial,['Superfície en la qual és constant el potencial de la gravetat terrestre (geopotencial). Aquesta designació equival a la de superfície de nivell.']
superfície frontal,['Superfície de separació entre dues masses d’aire.']
superfície isentròpica,['Superfície d’igual temperatura potencial.']
superfície isobàrica,['Superfície de l’atmosfera en la qual la pressió atmosfèrica és constant.']
superfície isoentròpica,['Superfície de l’atmosfera en la qual l’entropia és constant.']
superfície isopícnica,['Superfície de l’atmosfera en la qual la densitat de l’aire és constant.']
superfície isostèrica,['Superfície de l’atmosfera en la qual el volum específic de l’aire és constant.']
superfície sistèrmica,['Superfície de l’atmosfera en què la temperatura de l’aire és constant.']
tàlveg,"['Zona de l’atmosfera en la qual la pressió atmosfèrica és més baixa que a les zones del seu voltant al mateix nivell i que es representa en un mapa sinòptic mitjançant un sistema d’isòbares o d’isohipses en forma de V, amb la concavitat dirigida cap a la zona de pressió atmosfèrica més petita. Es tracta de zones d’inestabilitat atmosfèrica, normalment acompanyades de nuvolositat i precipitacions.']"
TAF,['Sigla de pronòstic d’aeròdrom terminal.']
pronòstic d’aeròdrom terminal,"['Pronòstic que descriu en un codi determinat les condicions que s’esperen en un aeròdrom o aeroport en un període de temps donat. La sigla amb la qual és conegut aquest tipus de pronòstic, TAF, prové del terme anglès terminal aerodrom forecast. És una de les claus meteorològiques més usades en aeronàutica.']"
tamborinada,"['Tempesta amb uns quants trons, però amb precipitacions molt escasses o nul·les.']"
tanc d’evaporació,"['Evaporímetre format per un dipòsit d’acer galvanitzat que serveix per a mesurar la quantitat d’aigua que s’evapora en un període determinat, generalment un dia.']"
tardor,"['Una de les estacions de l’any, que en meteorologia comprèn (per a l’hemisferi nord) els mesos de setembre, octubre i novembre.']"
primavera d’hivern,['Tardor.']
tardavera,['Tardor.']
darrevera,['Tardor']
tefigrama,"['Diagrama en el qual es representen els resultats d’un sondatge, indicant-s’hi l’estat de l’atmosfera per a cada altitud en funció de la temperatura t i l’entropia φ (t-φ-grama). Diagrama termodinàmic en el qual es representen en abscisses la temperatura absoluta i en ordenades el logaritme neperià de la temperatura potencial.']"
teledetecció,['Conjunt de tècniques que permeten l’estudi a distància de l’estat d’un sistema per mitjà de l’anàlisi del senyal que emet o reflecteix.']
temperatura,"['Condició física en virtut de la qual la calor passa d’uns cossos als altres (dels que tenen major temperatura als que la tenen menor). En meteorologia, fa referència a la temperatura que té l’aire en un moment donat.']"
temperatura absoluta,"['Temperatura del termòmetre centígrad, augmentada en 273,1 °C; pràcticament, augmentada en 273 °C (temperatura tercentesimal). La seva unitat és el Kelvin (K). L’escala va de 0 K i és oberta per sobre. Una temperatura de 0 °C equival a 273,15 K.']"
°A,['Símbol de temperatura absoluta.']
temperatura acumulada,['Integral tèrmica.']
temperatura balística,"['Temperatura hipotètica que hauria de tenir l’aire ran de terra, amb un gradient tèrmic determinat, perquè la trajectòria d’un projectil fos la mateixa que segueix realment a través de l’atmosfera amb les temperatures actuals.']"
temperatura del termòmetre sec,"['Temperatura que mesura el termòmetre sec del psicròmetre, que junt amb la del termòmetre humit permeten estimar la humitat relativa de l’aire.']"
temperatura de la superfície del mar,"['Temperatura de la massa d’aigua en els primers metres de gruix de la superfície marina, mesurada amb la instrumentació de boies marines, vaixells, o des d’un satèl·lit. En anglès, sea surface temperature.']"
temperatura de rosada,['Temperatura a la qual es produeix la saturació d’humitat i condensació del vapor d’aigua contingut en una massa d’aire.']
temperatura del sòl,"['Temperatura del subsol, mesurada habitualment a 5, 10, 20 i 50 cm per sota de la superfície, d’interès sobretot en estudis agrometeorològics.']"
temperatura del termòmetre humit,"['Temperatura que mesura el termòmetre humit del psicròmetre, que junt amb la del termòmetre sec permeten estimar la humitat relativa de l’aire.']"
temperatura equivalent,"['Temperatura que tindria l’aire si es condensés tot el vapor d’aigua que conté i la calor despresa de la condensació s’invertís en escalfar l’aire. En calcular la temperatura equivalent només se sol tenir en compte la calor de vaporització, però no la de fusió. L’excés de la temperatura equivalent respecte de l’actual es designa a vegades amb el nom de temperatura complementària.']"
temperatura complementària,['Vegeu temperatura equivalent.']
temperatura equivalent adiabàtica,"['Temperatura equivalent que es produeix quan el procés de condensació consta d’un procés adiabàtic d’expansió seca fins a arribar a la saturació, seguit d’un procés pseudoadiabàtic fins que es precipita tot el vapor d’aigua condensat i, a continuació, per un procés adiabàtic de compressió seca fins que torna a la pressió inicial.']"
temperatura equivalent isobàrica,['Temperatura equivalent que es produeix quan el procés de condensació es realitza a pressió constant i la calor latent despresa escalfa l’aire.']
temperatura equivalent potencial,['Temperatura equivalent quan la pressió final és la de 1.000 mil·libars.']
temperatura exterior,"['La de l’aire lliure, per contraposició a la del baròmetre, en la reducció de la pressió al nivell del mar.']"
temperatura extrema,['Temperatura màxima i temperatura mínima a què s’arriba durant un període de temps i en un lloc determinats.']
temperatura màxima,['Temperatura de l’aire més alta a què s’arriba durant un període de temps i en un lloc determinats.']
temperatura mèdica,"['Temperatura mitjana de les hores que els malalts poden romandre a l’exterior (per exemple, des d’1 h 40 m després de la sortida del Sol fins 20 minuts abans de pondre’s).']"
temperatura mínima,['Temperatura de l’aire més baixa a què s’arriba durant un període de temps i en un lloc determinats.']
temperatura mitjana,['Temperatura de l’aire mitjana a què s’arriba durant un període de temps i en un lloc determinats.']
temperatura operativa,"['Expressió adoptada per alguns fisiòlegs per a indicar una funció que pot ésser considerada com a mitjana de les temperatures externes que actuen sobre el nostre cos, sia per contacte, sia per radiació. En un ambient clos, si Ta és la temperatura de l’aire i T, la de les parets, la temperatura operativa és: To = (ka·Ta + kp·Tp)/(ka + kp), on ka i kp, són dos «coeficients de pes» que depenen de les circumstàncies locals, i ka, a més, depèn també de la velocitat de l’aire. Els valors generalment adoptats són: kp =3,6 i ka =16 · v1⁄2 per a l’individu nu, i ka =10,4· v1⁄2 per a l’individu vestit, essent v la velocitat del vent en metres per segon.']"
temperatura potencial,"['Temperatura que tindria una quantitat qualsevol d’aire, si adiabàticament se la sotmetés a la pressió normal o una pressió de referència determinada.']"
temperatura potencial parcial,"['Temperatura que tindria l’aire si la part d’aire perfectament sec que conté fos portada adiabàticament des de la pressió parcial que realment té, a la de 1.000 mil·libars.']"
temperatura pseudopotencial,['Temperatura equivalent potencial.']
temperatura equipotencial,['Temperatura equivalent potencial.']
temperatura pseudopotencial del termòmetre humit,"['Temperatura que adquireix una bombolla d’aire que segueix un procés adiabàtic fins al nivell de condensació i després un procés pseudoadiabàtic fins a una pressió de 1.000 mbar, de manera que la bombolla d’aire rep contínuament la quantitat de vapor d’aigua necessària per a mantenir-la saturada, malgrat l’evaporació que es produeix en ella.']"
temperatura virtual,"['Tractant-se de l’aire humit, és la temperatura que hauria de tenir l’aire perfectament sec perquè, a la mateixa pressió, tingués la mateixa densitat que l’aire humit en qüestió.']"
intempèrie,['Temps.']
tempesta,"['Forta pertorbació de l’atmosfera, acompanyada de vent, pluja, neu o pedra, i precisament de llamps i trons.', 'Temporal.']"
temperi,['Tempesta.']
tempestat,['Tempesta.']
tempesta de sorra,['Temporal de sorra.']
tempesta de pols,['Temporal de pols.']
tempesta de neu,['Temporal de neu.']
tempesta elèctrica,"['Tempesta que manifesta fenòmens elèctrics en forma de llamps o llampecs. Com aquest fet és normalment característic dels fenòmens tempestuosos, sovint es parla de tempesta elèctrica quan aquesta és especialment activa en aquest sentit.']"
tempesta magnètica,"['Pertorbació del camp magnètic terrestre, observable simultàniament a tot arreu.']"
tempesta multicel·lular,"['Sistema format per un grup de tempestes que interaccionen entre si, en diferents estats de desenvolupament.']"
tempesta seca,['Tempesta elèctrica de precipitació inapreciable.']
tempesta solar,['Alteració temporal de la magnetosfera terrestre a conseqüència de l’ona de xoc generada per l’augment sobtat de la densitat i velocitat de partícules provinent del vent solar.']
tempesta tropical,['Fase intermèdia entre la depressió tropical i l’huracà.']
temporal,"['Encara que el mot s’usa per a designar moltes de les pertorbacions atmosfèriques, el seu sentit estricte és el d’un vent de força igual o superior a 8 de l’escala telegràfica (velocitat mitjana superior a 15 metres per segon). A vegades, si va acompanyat de precipitacions, se’n diu borrasca. A l’escala Beaufort fa referència al vent de força 8, amb una velocitat entre 17,2 i 20,7 m · s‒1.']"
temporal de neu,"['Vent fort i fred, amb nevada seca o torb.']"
temporal de pols,"['Conjunt de partícules de pols aixecades violentament del sòl per un vent molt fort i turbulent, fins a gran altura.']"
temporal de sorra,"['Vent fort que porta gran quantitat de pols o sorra, en una àrea molt extensa, com per exemple un desert.']"
temporal fort,"['Vent de força 9, amb una velocitat entre 20,8 i 24,4 m · s–1.']"
temporal molt fort,"['Vent de força 10, amb una velocitat entre 24,5 i 28,4 m · s–1.']"
temporal violent,"['Vent de força 11, amb una velocitat entre 28,5 i 32,6 m · s–1.']"
